Day,Date,Confirmed,Sick,Recovered,Deaths
1,1/22/2020,555,510,28,17
2,1/23/2020,1208,1115,58,35
3,1/24/2020,1594,1484,66,44
4,1/25/2020,2375,2232,75,68
5,1/26/2020,3552,3363,91,98
6,1/27/2020,5045,4794,113,138
7,1/28/2020,8505,8124,168,213
8,1/29/2020,11744,11247,233,264
9,1/30/2020,14400,13827,269,304
10,1/31/2020,18161,17412,365,384
11,2/1/2020,21965,20987,506,472
12,2/2/2020,28825,27448,756,621
13,2/3/2020,36668,34785,1095,788
14,2/4/2020,43773,41380,1475,918
15,2/5/2020,51527,48495,1976,1056
16,2/6/2020,58452,54643,2611,1198
17,2/7/2020,65208,60357,3498,1353
18,2/8/2020,71511,65359,4627,1525
19,2/9/2020,77270,69698,5860,1712
20,2/10/2020,82912,73803,7190,1919
21,2/11/2020,87564,76809,8629,2126
22,2/12/2020,90023,77959,9833,2231
23,2/13/2020,105589,91655,11445,2489
24,2/14/2020,127253,110006,14353,2894
25,2/15/2020,135915,115273,17453,3189
26,2/16/2020,140254,116558,20260,3436
27,2/17/2020,144482,117396,23448,3638
28,2/18/2020,148394,117584,26935,3875
29,2/19/2020,150775,116173,30473,4129
30,2/20/2020,151836,113169,34298,4369
31,2/21/2020,153020,111455,37067,4498
32,2/22/2020,155402,108917,41776,4709
33,2/23/2020,157544,106337,46280,4927
34,2/24/2020,158533,104814,48621,5098
35,2/25/2020,159981,101512,53132,5337
36,2/26/2020,161808,98041,58289,5478
37,2/27/2020,164149,94904,63661,5584
38,2/28/2020,166874,91200,69988,5686
39,2/29/2020,170131,87825,76493,5813
40,3/1/2020,174380,85945,82498,5937
41,3/2/2020,178675,84276,88318,6081
42,3/3/2020,183146,83071,93830,6245
43,3/4/2020,187960,82148,99398,6414
44,3/5/2020,193002,81434,104966,6602
45,3/6/2020,199666,83197,109661,6808
46,3/7/2020,207605,86364,114223,7018
47,3/8/2020,215616,89204,119052,7360
48,3/9/2020,223356,92378,123188,7790
49,3/10/2020,232153,97005,126898,8250
50,3/11/2020,244457,104173,131407,8877
51,3/12/2020,254208,109546,135327,9335
52,3/13/2020,273536,124837,138575,10124
53,3/14/2020,301287,147189,142875,11223
54,3/15/2020,323540,162623,148658,12259
55,3/16/2020,348973,181285,154122,13566
56,3/17/2020,378669,204710,158928,15031
57,3/18/2020,412052,231367,164047,16638
58,3/19/2020,457618,270957,168061,18600
59,3/20/2020,514874,321598,172110,21166
60,3/21/2020,576690,373663,178755,24272
61,3/22/2020,640479,423671,189203,27605
62,3/23/2020,671959,446646,196038,29275
